id,label,group,in_degree,out_degree,total_degree
593,The Best of Ronnie Laws,Music,2760.0,10.0,2770.0
977,Schaum's Outlines of Programming with Java,Book,2581.0,10.0,2591.0
89,Desde Que Samba E Samba,Music,2452.0,10.0,2462.0
2612,The Letter of James (Pillar New Testament Commentary),Book,1667.0,10.0,1677.0
10999,The Social Work Skills Workbook,Book,1301.0,10.0,1311.0
41037,Mayday 2001,Music,879.0,10.0,889.0
104,"Owning Culture: Authorship, Ownership, and Intellectual Property Law (Popular Culture and Everyday Life, Vol. 1)",Book,736.0,10.0,746.0
12642,The Loss That Is Forever : The Lifelong Impact of the Early Death of a Mother or Father,Book,711.0,10.0,721.0
582,By the Light of the Moon,Book,697.0,10.0,707.0
634,Marie Antoinette: The Journey,Book,695.0,10.0,705.0
79,Today's Military Wife: Meeting the Challenges of Service Life (Today's Military Wife),Book,601.0,10.0,611.0
595,Outdoor Photography: 101 Tips And Hints,Book,587.0,10.0,597.0
7452,Organization Development and Consulting : Perspectives and Foundations (The Practicing Organization Development Series),Book,576.0,10.0,586.0
32614,Return from Heaven: Beloved Relatives Reincarnated Within Your Family,Book,558.0,10.0,568.0
112,Official Microsoft Image Composer Book,Book,544.0,10.0,554.0
37,"Mark Messier - Leader, Champion & Legend",DVD,535.0,10.0,545.0
4458,Desierto: Memories of the Future,Book,517.0,10.0,527.0
12392,Gloria,Music,515.0,10.0,525.0
4455,The Crepes of Wrath: A Pennsylvania Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Hardcover)),Book,486.0,10.0,496.0
3828,Instant Analysis,Book,485.0,10.0,495.0
53,Baby Boomer Retirement: 65 Simple Ways to Protect Your Future,Book,477.0,10.0,487.0
32909,I Cover the Waterfront,Video,474.0,10.0,484.0
33349,Original Jaguar E-Type (Original Auto Series),Book,469.0,10.0,479.0
1843,Modern Psychotherapies: A Comprehensive Christian Appraisal,Book,468.0,10.0,478.0
